                   MNLogit Regression Results                   
Dep. Variable:  ,choice          ,  No. Observations:  ,  9449  
Model:          ,MNLogit         ,  Df Residuals:      ,  9429  
Method:         ,MLE             ,  Df Model:          ,    18  
Date:           ,Tue, 24 Mar 2020,  Pseudo R-squ.:     ,0.7340  
Time:           ,18:43:16        ,  Log-Likelihood:    , -2741.7
converged:      ,True            ,  LL-Null:           , -10307.
Covariance Type:,nonrobust       ,  LLR p-value:       , 0.000  
      choice=1     ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
frequency          ,    2.8384,    0.126,   22.569, 0.000,    2.592,    3.085
intercept          ,   -9.4084,    0.286,  -32.918, 0.000,   -9.969,   -8.848
income*risk_dec    ,    0.0615,    0.004,   14.383, 0.000,    0.053,    0.070
income*frequency   ,   -0.6428,    0.059,  -10.963, 0.000,   -0.758,   -0.528
attention*risk_dec ,    0.0201,    0.002,   12.693, 0.000,    0.017,    0.023
attention*frequency,   -0.2478,    0.026,   -9.493, 0.000,   -0.299,   -0.197
retire*risk_dec    ,    0.0697,    0.005,   13.261, 0.000,    0.059,    0.080
retire*frequency   ,   -0.8251,    0.095,   -8.708, 0.000,   -1.011,   -0.639
work*risk_dec      ,    0.0535,    0.006,    9.627, 0.000,    0.043,    0.064
work*frequency     ,   -0.6966,    0.098,   -7.093, 0.000,   -0.889,   -0.504
-----------------------------------------------------------------------------
      choice=2     ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
frequency          ,    5.0060,    0.154,   32.465, 0.000,    4.704,    5.308
intercept          ,  -28.3243,    0.786,  -36.034, 0.000,  -29.865,  -26.784
income*risk_dec    ,    0.2483,    0.010,   25.049, 0.000,    0.229,    0.268
income*frequency   ,   -2.0527,    0.092,  -22.198, 0.000,   -2.234,   -1.871
attention*risk_dec ,    0.0358,    0.002,   17.644, 0.000,    0.032,    0.040
attention*frequency,   -0.3841,    0.030,  -12.908, 0.000,   -0.442,   -0.326
retire*risk_dec    ,    0.0991,    0.006,   15.867, 0.000,    0.087,    0.111
retire*frequency   ,   -1.1745,    0.103,  -11.371, 0.000,   -1.377,   -0.972
work*risk_dec      ,    0.0782,    0.007,   11.933, 0.000,    0.065,    0.091
work*frequency     ,   -0.9625,    0.107,   -8.998, 0.000,   -1.172,   -0.753
