                   MNLogit Regression Results                   
Dep. Variable:  ,choice          ,  No. Observations:  ,  9449  
Model:          ,MNLogit         ,  Df Residuals:      ,  9445  
Method:         ,MLE             ,  Df Model:          ,     2  
Date:           ,Tue, 24 Mar 2020,  Pseudo R-squ.:     ,0.2224  
Time:           ,16:54:29        ,  Log-Likelihood:    , -8014.7
converged:      ,True            ,  LL-Null:           , -10307.
Covariance Type:,nonrobust       ,  LLR p-value:       , 0.000  
 choice=1,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
frequency,    0.7381,    0.018,   41.301, 0.000,    0.703,    0.773
intercept,   -2.3211,    0.052,  -44.239, 0.000,   -2.424,   -2.218
-------------------------------------------------------------------
 choice=2,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
frequency,    0.7886,    0.018,   44.077, 0.000,    0.754,    0.824
intercept,   -2.3680,    0.053,  -45.034, 0.000,   -2.471,   -2.265
