                   MNLogit Regression Results                   
Dep. Variable:  ,choice          ,  No. Observations:  ,  9449  
Model:          ,MNLogit         ,  Df Residuals:      ,  9431  
Method:         ,MLE             ,  Df Model:          ,    16  
Date:           ,Tue, 24 Mar 2020,  Pseudo R-squ.:     ,0.7291  
Time:           ,18:43:16        ,  Log-Likelihood:    , -2792.5
converged:      ,True            ,  LL-Null:           , -10307.
Covariance Type:,nonrobust       ,  LLR p-value:       , 0.000  
      choice=1     ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
frequency          ,    2.4705,    0.105,   23.593, 0.000,    2.265,    2.676
intercept          ,   -8.9708,    0.262,  -34.182, 0.000,   -9.485,   -8.456
income*risk_dec    ,    0.0690,    0.004,   16.757, 0.000,    0.061,    0.077
income*frequency   ,   -0.7616,    0.057,  -13.326, 0.000,   -0.874,   -0.650
attention*risk_dec ,    0.0212,    0.002,   13.432, 0.000,    0.018,    0.024
attention*frequency,   -0.2562,    0.026,   -9.956, 0.000,   -0.307,   -0.206
retire*risk_dec    ,    0.0485,    0.004,   12.051, 0.000,    0.041,    0.056
retire*frequency   ,   -0.3107,    0.051,   -6.152, 0.000,   -0.410,   -0.212
work*risk_dec      ,    0.0231,    0.003,    6.826, 0.000,    0.016,    0.030
-----------------------------------------------------------------------------
      choice=2     ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
frequency          ,    4.5427,    0.135,   33.663, 0.000,    4.278,    4.807
intercept          ,  -27.6184,    0.764,  -36.158, 0.000,  -29.115,  -26.121
income*risk_dec    ,    0.2621,    0.010,   26.752, 0.000,    0.243,    0.281
income*frequency   ,   -2.2226,    0.091,  -24.471, 0.000,   -2.401,   -2.045
attention*risk_dec ,    0.0379,    0.002,   18.879, 0.000,    0.034,    0.042
attention*frequency,   -0.4049,    0.029,  -13.846, 0.000,   -0.462,   -0.348
retire*risk_dec    ,    0.0649,    0.005,   13.422, 0.000,    0.055,    0.074
retire*frequency   ,   -0.4762,    0.058,   -8.276, 0.000,   -0.589,   -0.363
work*risk_dec      ,    0.0288,    0.004,    7.469, 0.000,    0.021,    0.036
